Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Microbacteriaceae,6386,846,30,3543,396,5194,12766,4559,2852,1245,917,12862,308,631,619,860,5433,1146,92733,5464,363,5574,1536,622,820,13353,2667,657,354,11015,38401
Micrococcaceae,6245,372,355,2699,411,3566,16587,2988,1622,1430,714,8443,282,485,392,586,4774,629,38151,4917,315,4605,753,646,788,11186,2278,554,561,10297,30083
Brevibacteriaceae,1100,50,0,587,92,635,2267,733,259,138,117,1608,38,87,51,106,1091,210,9334,1043,54,1161,131,106,34,2415,278,84,36,2110,5595
Cellulomonadaceae,1016,131,0,898,51,1074,2597,926,814,188,127,3617,77,144,154,169,986,255,20231,980,61,1105,304,88,268,3343,467,136,81,2371,10974
Dermabacteraceae,928,89,0,641,92,810,3976,1506,494,285,102,2666,57,110,88,175,878,134,32406,677,49,864,210,120,148,4127,432,98,29,1719,8443
Ornithinimicrobiaceae,627,79,0,277,63,375,1027,270,185,106,43,736,20,51,25,62,491,283,5954,569,16,421,90,34,67,1094,189,70,52,1178,2969
Intrasporangiaceae,580,48,0,196,24,383,799,159,115,33,41,663,21,36,28,58,417,374,10480,537,26,436,72,29,19,915,185,56,42,931,2746
Promicromonosporaceae,430,64,0,350,30,461,1035,360,217,50,61,692,37,80,55,88,289,112,9395,394,41,260,105,55,41,1214,178,63,14,921,4943
Bogoriellaceae,352,24,0,691,24,821,1348,162,92,56,30,525,63,94,26,123,333,60,5477,274,42,246,47,45,118,708,125,76,15,1103,8979
Dermacoccaceae,366,23,0,281,36,157,1408,123,155,67,23,436,19,20,28,50,314,160,4778,269,0,355,40,14,12,1027,104,23,15,700,1456
Ruaniaceae,234,39,0,210,24,279,664,273,71,41,19,557,19,26,28,43,179,47,2206,150,14,168,85,18,21,641,69,37,0,402,2624
Kytococcaceae,200,23,0,0,0,29,241,28,59,0,0,43,0,0,0,0,77,18,2733,225,0,139,0,0,0,141,0,0,0,154,370
Dermatophilaceae,214,28,0,75,21,138,222,37,51,65,23,85,0,0,0,18,114,96,707,124,12,135,15,68,12,165,57,16,0,182,1154
Sanguibacteraceae,78,25,0,62,0,108,264,165,50,34,26,571,0,0,0,15,96,18,3258,55,0,34,11,0,0,199,33,0,0,161,1005
Jonesiaceae,57,0,0,16,0,0,92,10,0,23,0,81,0,0,0,0,33,0,28,44,0,29,0,29,21,102,30,0,0,103,72
Beutenbergiaceae,107,37,0,425,27,301,441,117,63,94,29,1426,36,41,30,70,144,95,4218,67,0,79,94,0,15,1176,64,52,0,392,4050
Actinomycetaceae,13104,538,0,24016,17993,117613,38636,172361,19416,1530,1924,89577,1923,4011,398,4994,14609,906,40637,11954,1414,11778,9268,4833,6678,36568,4017,2552,489,38209,321576
Propionibacteriaceae,8069,315,177,1228,183,1748,4084,2475,1364,680,377,7506,131,229,177,974,5672,1008,405888,7926,455,6304,459,439,571,7836,893,498,1626,12616,14013
Nocardioidaceae,2262,363,19,1001,136,1735,4861,1577,1125,311,299,3412,87,167,255,266,1849,641,49157,1819,110,1785,494,112,240,4369,917,179,381,3464,10073
Kribbellaceae,47,0,0,34,0,57,148,42,24,11,14,115,0,0,0,0,15,17,2254,45,0,0,14,0,0,139,51,0,11,81,477
Streptomycetaceae,8655,1608,19,3079,576,5109,18711,7383,4558,1876,1622,20331,400,669,1195,723,7570,2550,77925,7274,498,7808,2500,617,1016,21985,4379,816,269,13561,28449
Bifidobacteriaceae,7555,6863,0,940,1772,1320,3432,1141,5054,2741,3672,7503,274,353,641371,649,7030,134,3216,6445,429,7870,438875,3725,510,5428,1495,1062,33,12735,8766
Pseudonocardiaceae,4057,511,19,705,179,1275,7115,1981,1522,610,358,6336,85,210,279,179,2777,726,25413,3523,131,2914,563,139,254,7130,1277,278,99,6110,7019
Micromonosporaceae,1797,418,0,504,130,900,3017,1256,1081,323,283,4089,88,156,278,151,1590,588,17611,1627,85,1629,569,125,349,4059,992,153,94,2932,5016
Nocardiopsaceae,375,48,0,108,27,362,1002,310,285,90,80,944,23,38,44,22,539,65,2902,310,24,662,175,26,26,1020,164,42,11,608,1426
Thermomonosporaceae,367,66,0,155,35,213,633,331,231,78,53,820,18,26,51,31,329,124,4201,341,21,325,138,27,30,990,165,21,11,591,1429
Streptosporangiaceae,209,114,0,169,17,301,456,283,333,53,68,639,20,36,50,34,170,84,3742,170,14,158,167,25,39,682,200,29,0,416,2436
Geodermatophilaceae,284,45,0,34,0,146,544,140,161,41,39,393,0,11,17,16,208,64,1795,223,0,207,33,0,19,693,135,14,109,398,390
Jiangellaceae,256,17,0,28,0,51,139,57,18,13,18,226,0,0,0,0,188,31,1925,195,0,183,23,10,0,318,80,10,0,356,471
Candidatus Nanopelagicaceae,228,41,0,26,38,39,103,25,222,225,73,13,15,0,13,16,166,0,33,12,16,68,38,287,43,47,49,53,0,107,61
Catenulisporaceae,170,0,0,44,0,48,97,19,12,13,0,47,0,0,0,0,105,16,684,124,0,93,0,0,0,152,17,11,0,302,462
Nakamurellaceae,167,20,0,77,10,45,342,62,37,46,21,144,0,0,14,0,122,26,832,146,0,96,33,0,23,294,46,19,0,300,190
Frankiaceae,150,79,0,61,12,155,650,130,178,37,32,419,12,25,31,19,217,68,1995,181,15,252,71,0,65,301,107,23,12,360,636
Actinopolysporaceae,120,0,0,10,0,11,17,51,0,17,0,23,0,0,0,0,49,0,150,82,0,55,0,0,0,127,18,10,0,172,136
Glycomycetaceae,115,0,0,24,0,23,202,11,35,0,10,48,0,0,0,0,72,0,243,73,0,72,0,10,0,129,25,13,0,120,228
Sporichthyaceae,145,0,0,0,0,17,88,0,0,0,0,41,0,0,0,0,83,0,377,132,0,104,0,0,0,153,0,0,0,245,377
Kineosporiaceae,46,0,0,28,0,99,242,83,30,0,12,173,0,10,0,0,32,18,603,26,0,34,14,0,0,107,15,0,0,77,299
Jatrophihabitantaceae,19,0,0,29,0,33,85,0,0,11,0,17,0,0,10,0,14,0,498,11,0,10,0,10,0,27,10,0,0,46,226
Eggerthellaceae,632,3616,0,187,3823,374,2517,4107,10876,363,2620,3275,159,689,2992,580,1322,160,606,598,678,1077,10002,392,704,695,38121,1296,13,741,41098
Coriobacteriaceae,240,20664,0,596,11825,65,3798,5576,74135,731,29254,6217,2341,2760,135339,2217,4428,756,259,110,4830,3505,416224,4869,73,136,5883,30324,32,2799,1835
Atopobiaceae,82,4786,0,279,520,402,3258,1934,19720,329,5327,726,100,682,4823,160,1772,149,657,45,286,1098,10177,465,27,390,9237,670,12,294,751
Euzebyaceae,388,68,0,32,59,30,54,32,432,490,102,0,27,40,0,0,326,15,163,30,12,90,16,469,22,41,28,29,0,88,367
Egicoccaceae,14,0,0,0,0,0,29,0,17,0,0,18,0,0,12,0,0,0,88,14,0,0,10,0,0,29,0,0,0,14,85
Rubrobacteraceae,95,26,0,66,16,103,94,147,62,37,27,377,0,0,25,18,148,24,603,72,0,180,55,0,0,344,125,0,0,58,250
Baekduiaceae,71,22,0,0,0,0,32,25,49,0,0,34,0,0,0,0,14,17,481,0,0,0,11,0,0,29,41,0,0,360838,53
Conexibacteraceae,89,21,0,13,0,48,54,122,49,0,32,630,0,0,14,0,73,35,1115,135,0,82,41,0,0,361,59,0,0,180,194
Miltoncostaeaceae,17,14,0,44,0,33,107,21,87,0,13,141,0,0,25,0,28,22,514,16,0,23,38,0,0,182,44,0,0,30,93
Iamiaceae,101,27,0,83,17,44,285,36,100,10,29,105,0,0,22,13,112,45,1333,96,0,94,49,17,15,156,91,10,15,203,454
Mycoplasmataceae,3054,395,0,174,349,400,207,275,2392,2736,818,74,169,139,108,127,1816,77,377,72,189,687,532,2980,731,326,649,539,0,629,296
Spiroplasmataceae,806,270,0,99,209,191,84,143,1469,1919,413,34,73,100,60,58,1237,33,153,36,89,395,229,1532,238,87,343,304,0,312,117
Entomoplasmataceae,529,117,0,42,98,100,34,52,674,777,172,21,40,49,31,17,600,11,51,0,34,192,131,635,76,46,123,144,0,169,24
Acholeplasmataceae,1073,257,0,94,209,77,62,110,1466,1807,361,34,100,112,34,32,1321,26,105,18,77,410,217,1618,254,79,232,192,0,321,64
Metamycoplasmataceae,501,142,0,52,101,63,21,53,788,923,170,13,40,37,20,28,967,0,72,13,37,249,66,828,160,38,132,136,0,175,19
Mycoplasmoidaceae,310,26,0,0,15,96,0,0,117,131,37,0,14,0,0,14,151,0,46,0,0,84,42,151,35,32,50,72,0,86,37
Nostocaceae,487,159,0,89,141,286,136,140,780,1002,246,44,62,69,82,51,648,19,106,24,65,291,113,883,208,57,246,170,26,254,170
Calotrichaceae,209,53,0,39,49,79,38,42,288,270,102,12,16,18,29,28,165,11,62,22,41,75,61,556,95,32,114,83,0,116,76
Rivulariaceae,64,0,0,0,0,0,0,0,33,40,10,0,0,0,0,0,22,0,13,0,0,0,0,63,0,0,32,11,0,0,0
Hapalosiphonaceae,70,0,0,25,0,17,0,11,48,82,17,0,0,0,14,12,61,0,0,0,0,12,0,77,35,0,0,17,0,22,0
Aphanizomenonaceae,43,13,0,0,41,47,12,0,45,81,86,0,21,0,15,16,152,0,76,0,25,24,70,76,29,0,92,117,0,23,31
Tolypothrichaceae,18,0,0,48,12,0,33,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,15,0,0,0,19
Prochlorococcaceae,496,130,0,29,94,19,36,45,446,586,174,31,47,59,20,34,612,98,128,19,42,175,74,455,79,99,105,76,0,105,57
