Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Planococcaceae,2179,400,0,215,766,604,217,336,1998,2966,1614,93,156,131,214,111,2074,52,375,100,199,989,1066,2220,331,181,3547,1317,15,729,476
Listeriaceae,1113,415,0,215,287,312,153,185,2046,2857,583,357,138,120,206,151,2042,69,194,38,129,632,332,2031,409,171,526,403,0,644,313
Alicyclobacillaceae,264,105,0,64,68,176,126,96,445,631,134,31,34,33,38,11,430,44,65,22,35,226,74,459,28,54,248,70,0,90,85
Thermoactinomycetaceae,62,13,0,14,13,61,55,39,28,82,67,21,0,0,33,0,212,0,37,52,16,163,54,41,141,41,140,58,0,85,77
Erysipelotrichaceae,8161,1926,0,665,1415,1407,3093,2131,15796,8106,7775,746,748,511,6502,1328,18589,112,902,225,1189,5478,11093,9632,2692,1475,3119,29250,0,3889,4335
Turicibacteraceae,53,630,0,23,121,99,103,26,351,7778,242,12,32,20,80,19,6475,0,66,0,83,3486,197,189,458,19,492,406,0,330,91
Selenomonadaceae,1441,10357,0,199,3471,312,1527,357,1544,1309,5058,151,90,101,52592,485,1365,23,205,133,131,2158,320,3112,125,213,1413,21428,10,514,517
Sporomusaceae,231,45,0,38,45,76,82,58,121,180,103,18,18,0,23,19,428,0,41,10,31,157,55,270,58,22,2007,116,0,61,72
Veillonellaceae,1233,38000,0,99,4017,158,4753,447,10066,1618,18922,125,149,178,116,144,1873,89,169,33,173,2704,735,3101,2390,87,889,653,81,4910,297
Acidaminococcaceae,1026,42,0,158,173,353,1331,220,820,364,6223,42,32,0,121,83,534,0,195,0,72,349,189,707,119,152,259,501,0,105,247
Corynebacteriaceae,457035,322,227,3359,90241,908813,1946745,839614,5428,179384,991,3434030,394,7435,306,1220,199944,2397,21781,366021,583,225041,61299,6483,2111316,2952403,6394,16488,2097,565630,224010
Mycobacteriaceae,9432,628,11,1140,268,1741,24377,2169,1939,1380,593,7049,200,352,367,272,5926,841,20923,8304,225,6348,746,387,1762,12434,3558,595,132,13453,10244
Nocardiaceae,6875,303,13,628,161,1331,12789,1686,1077,1238,325,5171,81,210,216,177,4027,1433,14176,5995,123,4571,419,232,1014,10195,1716,355,117,9300,6060
Gordoniaceae,3054,84,0,283,45,301,4948,372,256,571,107,1329,29,78,69,47,1685,150,4984,2321,34,1717,150,64,286,2889,484,140,33,3646,2389
Dietziaceae,3998,59,0,122,0,172,3576,307,144,219,38,928,17,59,38,16,1976,104,2613,3748,13,2078,80,39,135,2231,244,101,32,3507,1482
Tsukamurellaceae,841,33,0,77,0,79,1751,173,72,50,30,438,0,17,13,24,512,30,1683,712,0,581,33,17,89,1115,74,33,0,1332,970
Lawsonellaceae,959,0,0,45244,63,61,47621,31919,82,3669,11260,95,10129,1713,0,5473,409,675,55881,772,13128,868,27,0,268340,187536,336838,3879,240,94010,19268
Segniliparaceae,111,0,0,14,0,24,149,0,0,18,11,31,0,0,0,0,46,20,140,278,0,80,0,0,0,69,50,23,0,258,104
