Genus,Species,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Thermanaerovibrio,Thermanaerovibrio velox,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,62,0,0,0,0,23,0,0,0,0,53,0,0,0,0
Thermincola,Thermincola potens,147,0,0,0,0,16,15,0,15,36,19,0,0,0,0,11,23,0,12,0,0,0,0,20,25,0,30,0,0,13,0
Thermoactinomyces,Thermoactinomyces vulgaris,0,0,0,0,0,0,12,0,0,41,0,0,0,0,10,0,37,0,0,0,0,18,13,11,0,0,22,19,0,0,0
Thermoanaerobacter,Thermoanaerobacter italicus,0,0,0,0,0,60,0,0,0,0,0,38,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
Thermoanaerobacter,Thermoanaerobacter kivui,181,68,0,49,57,110,41,39,343,491,86,0,25,31,0,34,343,0,83,0,49,137,67,398,39,90,76,67,0,122,56
Thermoanaerobacter,Thermoanaerobacter mathranii,775,118,0,54,66,0,0,61,397,704,201,0,40,34,0,0,513,0,0,0,0,209,69,719,29,0,90,64,0,143,0
Thermoanaerobacter,Thermoanaerobacter siderophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
Thermoanaerobacter,Thermoanaerobacter sp.,0,0,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,76,0,0,0,0,0,82
Thermoanaerobacter,Thermoanaerobacter wiegelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
Thermoanaerobacterium,Thermoanaerobacterium sp.,776,340,0,105,291,70,22,138,1951,2363,365,23,104,147,20,21,1729,23,72,23,74,492,106,1771,136,64,110,186,0,330,33
Thermoanaerobacterium,Thermoanaerobacterium thermosaccharolyticum,444,162,0,76,146,127,35,94,882,1111,214,0,61,59,20,35,866,0,54,0,79,246,96,999,105,54,377,154,0,262,60
Thermoanaerobacterium,Thermoanaerobacterium xylanolyticum,63,12,0,14,12,24,12,14,75,57,27,0,0,0,0,0,62,0,44,0,0,39,40,111,22,14,50,62,0,57,56
Thermobacillus,Thermobacillus composti,0,0,0,0,0,29,0,0,11,0,12,0,0,0,17,0,144,0,0,0,0,21,0,0,0,0,92,11,0,0,79
Thermobaculum,Thermobaculum terrenum,225,10,0,0,0,0,14,0,32,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Thermobifida,Thermobifida alba,0,0,0,0,0,87,15,61,0,0,0,19,0,0,0,0,94,0,161,0,0,133,41,0,0,24,13,0,0,0,53
Thermobifida,Thermobifida fusca,25,0,0,16,0,0,45,0,30,13,0,0,0,0,0,0,17,0,177,19,0,10,0,0,0,27,0,0,0,63,246
Thermobifida,Thermobifida halotolerans,0,0,0,0,0,62,122,0,63,0,0,25,0,0,0,0,0,0,91,0,0,0,0,0,0,37,15,0,0,14,66
Thermobispora,Thermobispora bispora,0,13,0,0,0,23,39,0,53,0,0,22,0,0,0,0,0,15,321,0,0,0,10,0,0,25,0,0,0,15,192
Thermochromatium,Thermochromatium tepidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
Thermoclostridium,Thermoclostridium stercorarium,0,0,0,29,0,77,37,61,0,0,22,0,27,0,14,0,69,0,18,0,15,60,16,34,16,0,113,33,0,21,38
Thermococcus,Thermococcus barophilus,48,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,23,0,31,0,0,25,0,32,29,0,0,0,0,22,0
