numID,KI_exp,compound,similarity,ASW74,ASW47,ASW20,ASW68,ASW38,ASW54,ASW19,ASW59,ASW50,ASW31,ASW66,ASW35,ASW67,ASW22,ASW2,ASW7,ASW29,ASW37,ASW11,ASW65,ASW56,ASW51,ASW15
116,2630,NA.2630.116,NA,0,380117,0,68936,219023,332533,0,0,1825686,0,2689404,684819,0,1089589,0,0,0,0,376630,395121,0,352621,0
117,2812,NA.2812.117,NA,5942,126114,0,0,269084,0,9059,0,715309,0,404879,176899,45778,223417,0,18505,1026543,338378,0,75823,0,0,0
118,1123,NA.1123.118,NA,0,58155718,0,0,56177340,0,0,0,55406846,0,57864372,53878226,0,56006770,0,0,0,0,0,54841488,0,0,0
119,2768,NA.2768.119,NA,193384,539348,0,0,0,0,140073,0,0,0,316833,0,356115,0,0,295963,84083,147335,0,123231,0,0,0
120,1292,NA.1292.120,NA,639920,0,7571092,0,0,0,0,6961267,0,0,0,0,7193410,0,0,480303,0,4813281,0,0,0,0,9014320
121,2509,NA.2509.121,NA,0,5081225,0,2512474,3278726,0,0,0,2481764,3190592,4142082,3317603,4617861,2712736,2659931,0,0,1337852,0,1428393,0,5344543,0
122,1836,NA.1836.122,NA,297686,110406,0,244982,540022,193404,199626,0,105582,70663,299312,71270,511915,174183,276189,266035,0,243769,193089,139911,80188,106762,0
123,1843,NA.1843.123,NA,0,0,0,215164,0,0,173864,0,0,0,207106,0,0,0,246178,0,0,0,187210,0,0,101215,0
124,2697,NA.2697.124,NA,0,381666,0,0,0,232222,0,0,0,0,1685311,0,173956,0,0,0,0,0,0,0,855542,0,0
125,2706,NA.2706.125,NA,0,277580,0,0,11780,0,0,0,9732,0,340155,14145,0,6178,0,0,0,0,0,38574,0,0,0
126,2763,NA.2763.126,NA,0,174527,0,0,14100,0,0,0,12403,0,389325,23110,0,10436,0,0,0,0,0,64505,0,0,0
127,2813,NA.2813.127,NA,0,55020,0,0,47853,0,0,0,122996,0,165390,28594,0,41563,0,0,0,0,0,17340,0,0,0
128,2822,NA.2822.128,NA,0,266055,0,590186,0,0,0,0,777941,0,1008895,441419,218905,253297,0,0,0,0,497845,0,0,403302,0
129,2896,NA.2896.129,NA,0,405294,0,0,7048,0,0,0,97496,0,299427,27904,0,12514,0,0,0,0,0,143845,0,0,0
130,3000,NA.3000.130,NA,0,538586,0,0,8886,0,0,0,41590,0,618160,13283,0,10353,0,0,0,0,0,75772,0,0,0
131,3000,NA.3000.131,NA,0,741002,0,0,2635745,0,0,0,364924,0,16337,253798,0,383087,0,0,0,0,0,19079,0,0,0
132,3000,NA.3000.132,NA,49387,16151,0,0,55585,0,301335,0,46797,0,386847,0,43522,0,0,155562,1811285,88210,0,83707,0,0,0
133,3000,NA.3000.133,NA,0,4797436,0,0,2799382,0,0,0,441709,0,3210379,657455,0,681846,0,0,0,0,0,1522219,0,0,0
134,2088,NA.2088.134,NA,290145,1755247,388677,0,118199,1138204,0,127649,1727157,0,3878007,1060146,2313456,323224,0,614629,142773,454175,756852,939671,0,952248,1320850
135,2116,NA.2116.135,NA,0,1531380,0,0,0,146116,2027954,0,0,0,213114,188419,605899,0,0,457971,0,0,0,202608,0,0,0
136,2117,NA.2117.136,NA,0,2090471,0,0,0,298845,2973041,0,1177968,0,0,0,0,0,0,0,0,0,391440,0,0,0,257266
137,2638,NA.2638.137,NA,0,319744,0,0,1220872,0,0,0,62481,0,841058,777316,0,131393,0,0,0,0,0,318592,0,0,0
138,3000,NA.3000.138,NA,0,6909208,0,0,4115100,0,0,0,1126150,0,133874,1182173,0,1230705,0,0,0,0,0,3663982,0,0,0
139,3000,NA.3000.139,NA,39114,1194606,0,0,85255,0,104781,0,18735,0,1624510,43042,279357,141679,0,86684,30213,58538,0,160387,0,0,0
140,3000,NA.3000.140,NA,106362,217846,0,0,69915,0,530597,0,45385,0,2725359,33518,981283,102031,0,283325,345063,85757,0,115381,0,0,0
141,2547,NA.2547.141,NA,0,0,0,0,0,0,222840,0,0,42976,0,0,0,0,44560,344215,11527,10673,62290,0,72473,0,0
142,1426,NA.1426.142,NA,268947,484045,273292,0,0,0,0,0,0,0,0,277749,366236,0,0,0,0,365112,0,811395,0,1101303,402364
143,2172,NA.2172.143,NA,42298,0,0,0,0,0,25942,0,0,0,0,0,413431,0,0,22327,23248,49286,0,0,0,0,0
144,2788,NA.2788.144,NA,0,154576,0,0,11065,0,0,0,15557,0,249351,16772,0,12538,0,0,0,0,0,43836,0,0,0
145,1859,NA.1859.145,NA,47195592,23188908,97089500,41674293,28723130,12671056,3785158,6398997,0,0,51849920,7166093,62348736,8665746,55994196,50238786,3309939,37158745,26242636,26833013,10803962,22981202,121653280
